Version	KoJaC2_v7r2	 ACFG	 INTERNAL 
Modfile	016cccc.mod
comment	VShape GPPC ZUM

Analysis name	.a016cccc_t2600a020d
Applied torque	2600.0
Rpm	200.0
Articulation angle	2.0




Powerflow 	Drive
JointType 	AAR_joint

Angle_Rot_Spider.LastRot	Angle_Rot_Tulip.LastRot	Force_Roller_Tulip_Total_JointRef.z	Force_Roller1_TulipTrack_tot.z	
0.0	0.41045	23.030523388093222	20.78619234991089
1.0	1.41045	18.327743686942938	15.671896612752544
2.0	2.41046	16.430479334711293	13.837758408101214
3.0	3.41048	15.009433312585545	12.23842659986022
4.0	4.4105	13.537027859486123	10.611661576659738
5.0	5.41053	12.090974466000645	8.93752414712207
6.0	6.41055	10.601121716317447	7.188669454886282
7.0	7.41058	9.25971359197139	5.493667979902343
8.0	8.4106	7.8556075069433655	3.9237089205716313
9.0	9.41061	6.565747483683503	2.333303784196189
10.0	10.41063	5.7483603449685825	0.7678541412197266
11.0	11.41064	2.9760332828510774	-0.6988316747659844
12.0	12.41066	0.23909438416595924	-2.1358948247303866
13.0	13.41069	1.3292730155878372	-3.443451112541655
14.0	14.41072	0.07648826593265312	-4.712529583531312
15.0	15.41075	-2.3792898957535296	-5.920406312538476
16.0	16.41078	-1.3849691002317999	-7.006943768464276
17.0	17.41081	-2.6819747636678035	-8.04667920619198
18.0	18.41084	-3.3663184515441174	-8.93870093230866
19.0	19.41086	-3.963694847245912	-9.805685581057638
20.0	20.41087	-4.4486140990051695	-10.537298873042403
21.0	21.41089	-4.9460496835789645	-11.150296595432257
22.0	22.4109	-5.4023141519906455	-11.663961815971074
23.0	23.41091	-5.755479192914118	-12.068308674861967
24.0	24.41093	-5.935052905854237	-12.417380778493674
25.0	25.41094	-6.302026004646322	-12.706396295205113
26.0	26.41094	-6.587136062105946	-13.018505966183294
27.0	27.41095	-3.6774017260309937	-13.319193555801903
28.0	28.41096	-6.929456658484845	-13.60773763221517
29.0	29.41097	-8.977897437252487	-13.835728622246906
30.0	30.41098	-8.22496632115082	-14.047734558785061
31.0	31.41099	0.4833111624446077	-14.225729460192635
32.0	32.411	-7.708151673707377	-14.55638710714677
33.0	33.411	-8.575419060240097	-14.74213067754009
34.0	34.41101	-8.266512365429037	-15.036834841035686
35.0	35.41101	-8.436093239864705	-15.328758234786424
36.0	36.41101	-8.563086384192603	-15.59898391550932
37.0	37.411	-8.49138510098256	-15.851340448016884
38.0	38.41098	-8.255692058001609	-16.051836337071183
39.0	39.41095	-36.378217527348895	-44.43151872083325
40.0	40.41093	-50.299962078884704	-58.738469529101835
41.0	41.41089	-50.00788984339054	-58.909535727615605
42.0	42.41085	-49.76055473152977	-59.14236788445954
43.0	43.41081	-49.08126545676899	-59.30666256876029
44.0	44.41077	-50.59553616232174	-59.451560013363874
45.0	45.41074	-47.490700148076016	-59.69714745499386
46.0	46.41071	-44.31625360833347	-59.98032189793168
47.0	47.41069	-46.15614994161321	-60.12981019049205
48.0	48.41068	-44.64532720001797	-60.31692765591568
49.0	49.41067	-43.51940655548632	-60.554865977179865
50.0	50.41066	-42.09879963021888	-60.7722400310611
51.0	51.41065	-41.22554361263228	-60.96267904453795
52.0	52.41063	-39.90141298628826	-61.11118820817293
53.0	53.41062	-38.55788342687943	-61.27793963265256
54.0	54.41061	-37.31053257892831	-61.44701716004412
55.0	55.41059	-36.054020923745746	-61.58205744836888
56.0	56.41057	-34.702947157718164	-61.6465250740751
57.0	57.41056	-33.3952929513523	-61.7198947903162
58.0	58.41055	-32.091589973377175	-61.83750174536225
59.0	59.41054	-29.31024244949674	-61.9655604852513
60.0	60.41054	-26.227142992077198	-62.11325691983825
61.0	61.41054	-21.27226896319733	-62.26041328102812
62.0	62.41053	-18.599607448595325	-62.400143021108356
63.0	63.41052	-17.069922383059055	-62.504403238099734
64.0	64.41052	-15.52552153393114	-62.567210769076674
65.0	65.41053	-13.985660131918657	-62.74450823988213
66.0	66.41054	-12.49041911789655	-62.92232364597071
67.0	67.41056	-11.126587635200417	-63.130881340716826
68.0	68.41058	-9.825274794813495	-63.29835027285943
69.0	69.41061	-8.471887907576978	-63.40611014901085
70.0	70.41064	-7.243979395057111	-63.47755670944634
71.0	71.41068	-6.039440264108414	-63.562478854229106
72.0	72.41072	-4.8236400838253894	-63.51999831499141
73.0	73.41076	-3.791475738030776	-63.61298582755952
74.0	74.4108	-2.2173366734485853	-63.713465067362684
75.0	75.41083	-1.4678313935603096	-63.63442544319121
76.0	76.41086	-0.7918716831815973	-63.955273695294004
77.0	77.41088	-1.9592895500811947	-66.07773454794446
78.0	78.41091	1.3099944226691345	-63.52441097016298
79.0	79.41094	-1.9170850922845089	-67.85333636208001
80.0	80.41097	1.6472572514411183	-64.8556534011663
81.0	81.41101	-0.2229004904368424	-67.28281628012822
82.0	82.41105	9.48421695584043	-58.05849040278667
83.0	83.41109	2.6829979774178274	-65.0744327372536
84.0	84.41112	4.670944531781983	-63.44585572835953
85.0	85.41115	4.599349007985055	-63.69618693155449
86.0	86.41117	4.8417114687030525	-63.647132386766785
87.0	87.41118	6.151529613209078	-62.57890754823007
88.0	88.41119	8.152061602405276	-60.66587059281947
89.0	89.41118	12.288864488424867	-56.61592052378073
90.0	90.41117	5.067412981622097	-64.10427805551849
91.0	91.41116	6.06571404059707	-63.091294411700304
92.0	92.41115	6.14859707970455	-63.00647523443436
93.0	93.41113	6.244224198399593	-62.83294937398623
94.0	94.41112	-0.3607795256168061	-69.37319227732297
95.0	95.4111	2.958143833178816	-65.63026614563528
96.0	96.41107	7.317185710168053	-61.29924160314541
97.0	97.41106	5.84558811909143	-62.256972407575134
98.0	98.41104	5.922012758248235	-61.84481311434585
99.0	99.41102	38.4973172460546	-62.74800414790955
100.0	100.411	50.479754586225326	-58.799324224345256
101.0	101.41098	45.466920621685404	-63.261599523469755
102.0	102.41096	46.981975687329545	-61.14807737826539
103.0	103.41093	45.77096101857652	-61.66173165976339
104.0	104.4109	45.5728110904011	-61.0616429388524
105.0	105.41088	45.99164441707681	-59.64257517267636
106.0	106.41086	44.24831720800718	-60.65496490756664
107.0	107.41084	43.68112632801543	-60.249071668320006
108.0	108.41082	45.044506900373456	-57.78094166092794
109.0	109.4108	52.27933643498522	-49.298242374457296
110.0	110.41078	43.16947888492974	-57.404947249534
111.0	111.41077	38.88184635295995	-60.379667736281874
112.0	112.41076	38.81914637464346	-59.11934582178122
113.0	113.41077	36.563825884815564	-59.83445264567881
114.0	114.41077	32.95765027163622	-62.07951272910624
115.0	115.41078	32.01191809879899	-61.61984797781105
116.0	116.41078	31.258417217255182	-61.07656201442853
117.0	117.41078	31.489933391153446	-59.51571303672536
118.0	118.41076	30.2903723852314	-59.48891805452237
119.0	119.41075	28.68114845393463	-59.34985607593519
120.0	120.41073	23.34683791202698	-59.31307302313239
121.0	121.41071	18.14483173655438	-59.27607873549802
122.0	122.4107	16.33298661532329	-59.145078302435294
123.0	123.4107	14.585737821705726	-59.37888551303777
124.0	124.41071	12.42728307236135	-59.994916435828934
125.0	125.41073	11.455577265135442	-59.321917530466386
126.0	126.41075	8.895084154341847	-60.29371202638686
127.0	127.41077	7.454184792337181	-59.93224209919555
128.0	128.4108	8.45305581793265	-57.79971044309511
129.0	129.41083	5.783061095395763	-58.56816052337123
130.0	130.41085	6.994099447611266	-57.70917745274086
131.0	131.41088	5.080843816477335	-58.05208433361244
132.0	132.41089	3.104365478538234	-58.10329354492512
133.0	133.4109	1.6465159423548972	-58.052825364835535
134.0	134.41092	0.4196647828408048	-57.989172674432254
135.0	135.41094	-0.7463733643207284	-57.91290051236953
136.0	136.41097	-1.8024661996045817	-57.825471702548036
137.0	137.411	-2.858238164969334	-57.83316531474088
138.0	138.41103	-3.629649360105912	-57.619444398243985
139.0	139.41106	-4.367405892415873	-57.44121054258485
140.0	140.41109	-4.903268630317041	-57.18138113149104
141.0	141.41112	-5.389611483336267	-57.029569417573455
142.0	142.41114	-5.306416559130048	-56.88214535410473
143.0	143.41116	-6.146669547536979	-56.70300694665874
144.0	144.41117	-6.87278269864502	-56.564928451710365
145.0	145.41117	-6.664633373108285	-56.48788028382218
146.0	146.41118	-6.974373665356576	-56.41011234607229
147.0	147.41118	-7.283273958774636	-56.34989617311412
148.0	148.41119	-7.532688909378832	-56.26638682301145
149.0	149.41119	-7.71194833669625	-56.14642240637134
150.0	150.41119	0.9916703172064986	-55.98517886072671
151.0	151.41119	-15.031067186452841	-55.803484595029666
152.0	152.41119	-12.617750991126227	-55.64054305870179
153.0	153.41119	-19.685912196783452	-55.34245851755726
154.0	154.41119	-8.636787961241666	-55.134413522050515
155.0	155.41119	-8.993680692057456	-54.816027843750874
156.0	156.41119	-8.588020766523993	-54.40032714472513
157.0	157.41119	-8.59565013368981	-53.95120228790746
158.0	158.41118	-8.577252571850428	-53.44983568754547
159.0	159.41117	-36.383355745908744	-52.86172787125793
160.0	160.41116	-50.3145847214716	-52.15600982505218
161.0	161.41113	-50.04817374241463	-51.35925496033234
162.0	162.4111	-49.59930974760923	-50.47531980123245
163.0	163.41106	-47.78783202618936	-49.56242679146829
164.0	164.41101	-47.994645932575985	-48.503748693552254
165.0	165.41096	-47.43274489445354	-47.46463815304059
166.0	166.41093	-51.39603292902673	-46.328277793576525
167.0	167.41091	-44.39722952120751	-45.141505073248474
168.0	168.4109	-44.51415503061414	-43.86482239035507
169.0	169.4109	-43.43971877392522	-42.54053799845209
170.0	170.4109	-38.64591688550164	-41.16629461239388
171.0	171.4109	-41.84965121220445	-39.62074767676497
172.0	172.41089	-40.22661279350076	-38.07711401387547
173.0	173.41088	-38.81085504393769	-36.45931125824217
174.0	174.41087	-37.476646133432844	-34.894992315849635
175.0	175.41085	-37.44723717347372	-33.449350914295934
176.0	176.41082	-34.96150478750486	-32.04014333156688
177.0	177.4108	-31.079615920409328	-30.680358789481375
178.0	178.41078	-33.24657975322192	-29.239617699617444
179.0	179.41077	-30.80674007342504	-27.207556464868155
180.0	180.41077	-25.06983110782518	-21.291762706688292
