Version	KoJaC2_v7r2	 ACFG	 INTERNAL 
Modfile	016cccc.mod
comment	VShape GPPC ZUM

Analysis name	.a016cccc_t2600a160d
Applied torque	2600.0
Rpm	200.0
Articulation angle	16.0




Powerflow 	Drive
JointType 	AAR_joint

Angle_Rot_Spider.LastRot	Angle_Rot_Tulip.LastRot	Force_Roller_Tulip_Total_JointRef.z	Force_Roller1_TulipTrack_tot.z	
0.0	0.46015	183.59512410588178	90.25430829601171
1.0	1.46022	97.8000847322526	16.97437523649526
2.0	2.46031	61.841797976592765	-27.087442749133686
3.0	3.46043	55.15519533122305	-34.34389344652595
4.0	4.46059	45.35210718744684	-43.40309589631458
5.0	5.46072	32.405072120396476	-47.439207538368365
6.0	6.46086	36.93593682180189	-50.08224251505705
7.0	7.46101	73.22066330858044	-9.870812375438403
8.0	8.4612	94.02819869833267	8.02930049621927
9.0	9.46128	80.79168710248958	-12.57274872859176
10.0	10.46133	51.59879558785536	-29.051594081030345
11.0	11.46144	45.92559422329154	-39.47214004887743
12.0	12.46156	43.81861038064135	-41.7248460964243
13.0	13.46168	18.050880477313395	-61.478726153061956
14.0	14.46178	17.730921734944328	-69.56799712861284
15.0	15.46187	13.056922054569185	-67.6651827233997
16.0	16.46195	28.189668065967027	-66.6490155082705
17.0	17.46199	10.000084228296092	-60.231425671459405
18.0	18.46199	15.924106655317104	-64.54637866733043
19.0	19.46182	-0.03511204548968294	-64.36679667102871
20.0	20.46151	-2.2154737228757995	-61.84120408304897
21.0	21.46122	-3.058187751067209	-64.7163190663607
22.0	22.46076	-32.49400022410312	-65.45445354304343
23.0	23.46011	-56.56141510419437	-66.5120294968157
24.0	24.45947	-47.687868870963264	-66.32365771934033
25.0	25.45893	-56.428003789796	-68.93516169270202
26.0	26.4585	-72.59863765094207	-68.57272913918702
27.0	27.45813	-57.243260220612804	-68.58717844938688
28.0	28.45778	-77.44118205085908	-75.10413041808316
29.0	29.45752	-61.38708458463813	-68.47581552482472
30.0	30.45731	-78.63129260586312	-66.71072480611033
31.0	31.45713	-93.27865117912002	-80.0668102306517
32.0	32.457	-101.51336983438799	-75.41887661822871
33.0	33.45688	-114.4748987163036	-78.2858965572358
34.0	34.4568	-139.9801297642147	-93.1431096586442
35.0	35.45686	-125.8494081962088	-79.80298389901226
36.0	36.4571	-130.24559282777443	-84.52925470860765
37.0	37.4574	-133.43714234356364	-86.49785976274534
38.0	38.45768	-124.32291040886517	-79.76853180303397
39.0	39.45796	-138.83812987753515	-92.27183615743076
40.0	40.45825	-133.21743660882154	-86.9896560546932
41.0	41.4585	-162.4559161242846	-110.15923671549486
42.0	42.45876	-182.7034291094924	-132.8173819744964
43.0	43.45901	-181.3492138031828	-134.00978744190215
44.0	44.45923	-199.35878502589975	-135.4667767264033
45.0	45.45936	-203.3631453298994	-141.20639320587756
46.0	46.45948	-186.9770988839344	-129.51983017164662
47.0	47.45959	-204.20079181993017	-140.0713913045346
48.0	48.45972	-217.56029560041355	-141.768094321885
49.0	49.45985	-218.26933711096078	-143.1569347206358
50.0	50.45999	-235.82874791243228	-144.68436664300154
51.0	51.4601	-216.37527933076305	-133.72558362532672
52.0	52.46021	-227.49747324022644	-142.59918620810004
53.0	53.4603	-242.31304333448003	-151.79003985138718
54.0	54.46037	-240.9526475954201	-148.90909177491977
55.0	55.46044	-254.57115731937324	-153.1486570666462
56.0	56.46049	-241.06952812910336	-152.32969462914957
57.0	57.46053	-236.88726646600367	-144.67533725115078
58.0	58.46058	-236.22062521127484	-145.9125573200573
59.0	59.46062	-235.16169872861482	-162.97388000555335
60.0	60.46068	-198.98812976271245	-157.96819560585502
61.0	61.46076	-71.98603845297411	-133.07210541882694
62.0	62.46088	-57.342730548442525	-146.13896330734727
63.0	63.46103	-41.101639045229184	-148.6119360541952
64.0	64.4612	-21.12283278108799	-140.17031218267977
65.0	65.46136	-19.89680849450305	-140.9774929978672
66.0	66.46152	-16.88869703803563	-141.3573560163634
67.0	67.4617	-69.57343765969553	-145.6383120365644
68.0	68.46191	-87.44294998726305	-149.07612089224176
69.0	69.46198	-68.05943696196658	-151.6484900980946
70.0	70.46204	-77.55910392898613	-166.0815410314436
71.0	71.46215	-62.257388721289196	-158.53972276176052
72.0	72.46225	-37.748807791048186	-157.14799720274132
73.0	73.46235	-20.08923093539664	-147.02991043087363
74.0	74.46244	-17.92066742486547	-154.09435723767726
75.0	75.46251	-15.280829317630873	-153.29169313409938
76.0	76.46254	-16.202846805382244	-152.5050002375762
77.0	77.46254	-8.671559820021272	-141.4205472203448
78.0	78.46251	-13.264187230637674	-148.00384806083997
79.0	79.46237	-3.14017464211618	-140.19462699091406
80.0	80.46208	2.191080179961503	-134.28156439816055
81.0	81.46175	-2.146430922458052	-140.06933746406474
82.0	82.46132	19.209626119301458	-117.76397558287334
83.0	83.46064	54.15661939491675	-93.4420881531906
84.0	84.45996	57.087506495295955	-92.77677479399755
85.0	85.45939	54.91739201266166	-88.87777031638825
86.0	86.45889	40.20706742573937	-102.29668808089451
87.0	87.45845	62.05365717279449	-87.45615753782822
88.0	88.4581	65.01580159108035	-89.83570043946257
89.0	89.45778	59.62463155344825	-88.60410727722467
90.0	90.45753	73.83327737934641	-83.05221831283285
91.0	91.45732	83.3138264505086	-75.52746711559537
92.0	92.45712	93.13896798403513	-68.57859050076044
93.0	93.45695	101.2462015293539	-77.20045875179058
94.0	94.45685	127.9668099589874	-50.84514499829553
95.0	95.45677	120.7151628448479	-52.4892206669641
96.0	96.4568	127.64813799837911	-50.399449029924924
97.0	97.45702	115.73296886796257	-52.479646013345715
98.0	98.45729	128.03747397192998	-53.983000159042895
99.0	99.45753	124.80111795187209	-54.371155235471484
100.0	100.45777	131.07423179250983	-55.30605312493863
101.0	101.45803	188.5460901657464	-38.941917661270395
102.0	102.45828	169.91875400865794	-60.87865994486682
103.0	103.45854	164.01930985097485	-66.19846483091928
104.0	104.45876	185.71396357744874	-45.73986350048205
105.0	105.45897	176.77692573401595	-61.56362096617887
106.0	106.45913	186.63355662426318	-56.7523366654395
107.0	107.45927	193.8264278147807	-56.554779502806795
108.0	108.45937	187.13469735455323	-57.26217028894407
109.0	109.45947	212.4018941425652	-57.504341342810676
110.0	110.45956	225.99481179465735	-47.188951390925645
111.0	111.45964	204.09806695449845	-69.90329148661235
112.0	112.45971	225.76289980785484	-53.675242462688686
113.0	113.45977	225.5144499032048	-58.4046939129105
114.0	114.45985	230.54872093641853	-56.29293807221783
115.0	115.45993	227.99332294608155	-57.66754909370486
116.0	116.45998	231.4126141105134	-58.86592308945715
117.0	117.46004	238.3286510188213	-54.90170526209871
118.0	118.46008	235.87475246686952	-53.8784678773756
119.0	119.46012	194.86552317449085	-63.87732026364614
120.0	120.46019	180.56910485951167	-59.8194121735942
121.0	121.46025	90.82730134504051	-59.65096894768663
122.0	122.46033	62.22269979933261	-60.315305466975055
123.0	123.46046	47.17916292649975	-60.40360311998392
124.0	124.46061	46.24727062078168	-61.471052607564715
125.0	125.46075	42.86275810621004	-61.965439948258414
126.0	126.46089	15.68790872007143	-63.21909018585552
127.0	127.46103	72.0720208452754	-63.29156747441826
128.0	128.46119	92.28260789134663	-63.964888605769744
129.0	129.46127	79.07663482995609	-59.558599905067474
130.0	130.46132	47.26970255626587	-67.55189050396446
131.0	131.46143	56.32874333014653	-66.02737746270701
132.0	132.46156	36.95060649541416	-64.438171719833
133.0	133.46168	32.50340138641378	-66.74368719369765
134.0	134.46181	6.858787095892978	-68.52970645068064
135.0	135.46189	16.43662682171852	-68.87538154934067
136.0	136.46195	27.218383308501853	-70.59581980450791
137.0	137.46199	12.514542492919531	-71.0884110412139
138.0	138.462	26.52241326858819	-72.8246296303998
139.0	139.46185	1.4677547529073673	-73.62588878309121
140.0	140.46154	-16.59591632106125	-83.27348423247518
141.0	141.46124	-0.20556690559715213	-73.7880773632096
142.0	142.46078	-41.87752395279622	-74.9043405411088
143.0	143.46012	-57.83503140180222	-85.11536450135014
144.0	144.45949	-57.53074343939465	-80.33615537576472
145.0	145.45895	-53.39090502917299	-79.28485118582142
146.0	146.45851	-63.93465621981937	-79.54935084326978
147.0	147.45813	-81.87552884238428	-80.07179601163583
148.0	148.4578	-68.33407300383426	-87.35151381067375
149.0	149.45754	-73.19679634908289	-89.38560168882515
150.0	150.45734	-78.04798098310503	-87.71463212962608
151.0	151.45714	-101.88566177104792	-89.86210099059936
152.0	152.457	-87.58056589225986	-91.04188230463258
153.0	153.45689	-113.6243744880938	-91.1856209850711
154.0	154.4568	-120.03280054973983	-95.60371913274996
155.0	155.45686	-131.84633467969678	-96.86174703365337
156.0	156.45709	-122.1468047611835	-99.59869791174961
157.0	157.4574	-118.67590188692071	-96.31662836228966
158.0	158.45768	-119.53694053828049	-87.070840600741
159.0	159.45794	-122.0429597640658	-90.53810184010311
160.0	160.45824	-108.1737525488467	-96.33896956673182
161.0	161.45851	-151.18578727325377	-95.95334541086021
162.0	162.45876	-174.8828203869443	-95.83679802757877
163.0	163.45899	-181.77129336644992	-95.70746582842658
164.0	164.45922	-187.22057176660863	-103.84092935793554
165.0	165.45935	-199.53486829024857	-114.83241315440023
166.0	166.45947	-204.35605891306653	-121.09746154374847
167.0	167.45958	-211.3308383636611	-125.84798921122307
168.0	168.45971	-219.217032040325	-130.10550518816117
169.0	169.45983	-219.59473123331813	-132.96770895121733
170.0	170.45997	-228.45792965111949	-138.17544330807394
171.0	171.46008	-239.99535961170344	-142.18532585220552
172.0	172.46019	-225.09529533910015	-144.4902272338194
173.0	173.46029	-225.1401096413118	-147.82434222766602
174.0	174.46037	-238.20674311500144	-149.31912906524633
175.0	175.46044	-244.9293459234026	-148.0310998878178
176.0	176.4605	-255.1238077216619	-151.7195455910379
177.0	177.46056	-241.462853092222	-152.07323484997883
178.0	178.4606	-245.01489793296656	-150.78749442156393
179.0	179.46065	-229.32883303642507	-130.84060137178045
180.0	180.46071	-197.22907672735113	-92.9809596335008
181.0	181.46078	-92.31205085781116	2.259849020555349
