Version	KoJaC2_v7r2	 ACFG	 INTERNAL 
Modfile	016cccc.mod
comment	VShape GPPC ZUM

Analysis name	.a016cccc_t2600a080d
Applied torque	2600.0
Rpm	200.0
Articulation angle	8.0




Powerflow 	Drive
JointType 	AAR_joint

Angle_Rot_Spider.LastRot	Angle_Rot_Tulip.LastRot	Force_Roller_Tulip_Total_JointRef.z	Force_Roller1_TulipTrack_tot.z	
0.0	0.42709	45.047478973496084	32.00152557820427
1.0	1.4271	54.43812570802161	24.069345903781723
2.0	2.42712	33.81627108409644	21.11201403646363
3.0	3.42714	35.335868213636616	16.48761781998935
4.0	4.42715	25.740138129244833	15.398141653892162
5.0	5.42717	30.61176290654072	14.619184217593425
6.0	6.4272	33.675553872928	14.21962719389111
7.0	7.42722	20.730189645738594	13.4123690021227
8.0	8.42726	29.87010222551233	12.733353394456463
9.0	9.42732	35.3584552786512	11.37787767371901
10.0	10.42739	25.794706518779023	10.05824550687839
11.0	11.42747	20.79077767393292	8.42922422692996
12.0	12.42757	33.17030995230771	6.940975809363649
13.0	13.42769	38.54684741608459	5.556113185604303
14.0	14.42782	20.77159390255377	4.051735426781266
15.0	15.42796	28.067884605608274	4.746593397149382
16.0	16.42811	37.65237728913002	5.843056962696148
17.0	17.42815	35.11447424468625	-0.4982218776242258
18.0	18.42815	31.513734098683642	-11.370335729814007
19.0	19.42821	16.662666611882727	-21.690318455441002
20.0	20.42826	13.652514285781637	-19.08052396986619
21.0	21.42822	5.795421343015533	-23.29943455734233
22.0	22.42808	10.97372772027461	-27.091872696436614
23.0	23.42786	-1.7111764316159397	-26.910259647976144
24.0	24.42761	11.157719127649317	-25.664175536693495
25.0	25.42728	-6.006792807836163	-29.744486417441426
26.0	26.42697	-8.07688968000828	-27.73184513836973
27.0	27.42672	-0.6999008900344708	-26.526112086957124
28.0	28.42652	2.747587123511423	-26.023850806666566
29.0	29.42637	-1.6384248439346718	-18.80633947698527
30.0	30.42623	-14.951984639964566	-34.81901945255147
31.0	31.4261	-19.719553506238086	-29.690827266902556
32.0	32.426	-0.2511857586741115	-15.51703239747998
33.0	33.42593	-28.307641577439963	-42.882845229937445
34.0	34.4259	-26.07486511218979	-25.688466192504556
35.0	35.42587	-13.409132610169808	-25.7056275789525
36.0	36.42583	-17.624745975860105	-25.35801079149671
37.0	37.42581	-26.728996499564122	-27.66203284835654
38.0	38.42581	-30.12628259172944	-27.977840136281813
39.0	39.42583	-35.81254615900749	-30.88564984180332
40.0	40.42584	-72.50959619700345	-69.11907552204912
41.0	41.42587	-74.9655687010191	-70.0247009168005
42.0	42.42592	-75.04195074294532	-66.59342801498032
43.0	43.42597	-75.14700623244833	-69.47284116460114
44.0	44.42602	-81.53212097003279	-69.93344400932811
45.0	45.42607	-80.24670400897232	-73.58058584726291
46.0	46.42613	-83.84617883799613	-72.55297452402594
47.0	47.4262	-80.70383765116324	-71.62347987032464
48.0	48.42625	-80.22413466273134	-73.36548879873384
49.0	49.42633	-78.33367190171202	-72.3825288483346
50.0	50.42643	-73.26139696311432	-73.19404687864868
51.0	51.42651	-79.0089543870167	-73.11126404264387
52.0	52.4266	-88.9623946553969	-75.35820491347909
53.0	53.42669	-78.59951134986643	-74.0820129528971
54.0	54.42674	-86.46271256735531	-73.91480165777023
55.0	55.4268	-85.98007077410578	-84.56183850055608
56.0	56.42686	-85.98504035484045	-73.76997934706401
57.0	57.42691	-57.205263441064055	-73.9000758800153
58.0	58.42695	-69.43076806055751	-75.32175126991484
59.0	59.42699	-63.154574043227925	-75.045669571177
60.0	60.42703	-52.83206793880179	-79.2863794871127
61.0	61.42706	-23.583683223365387	-58.10370082440224
62.0	62.4271	-34.84456642936864	-74.37378382873099
63.0	63.42713	-50.07806240390685	-86.61218327381287
64.0	64.42716	-31.96506703629633	-72.56109290319718
65.0	65.42719	-38.886458799252914	-76.69094764333485
66.0	66.42721	-26.802836577303538	-77.26903014602715
67.0	67.42726	-31.314887992547426	-74.59948488653372
68.0	68.42731	-21.810759461842245	-72.85515541291258
69.0	69.42736	-16.650649310865127	-72.36959938160604
70.0	70.42742	-28.36717955913872	-78.20105710747588
71.0	71.42751	-25.40966653440322	-76.35914786005806
72.0	72.42758	-27.805180548976875	-81.3192617827605
73.0	73.42769	-22.54000162661823	-80.86529187480872
74.0	74.42782	-21.90828180632112	-81.06659864222885
75.0	75.42795	-18.17217916793083	-81.91678834599736
76.0	76.42809	-30.865127065461184	-89.05805707283277
77.0	77.42815	-29.681146558139048	-97.38075183922851
78.0	78.42821	-37.42800713873342	-97.89016243022829
79.0	79.42829	-28.79455283011997	-99.61306332362771
80.0	80.42836	-16.523820962680933	-94.4033993867071
81.0	81.42835	-5.52144165825544	-95.38543453440143
82.0	82.42819	0.8591565999071448	-93.74259200859622
83.0	83.42795	-13.787740605973191	-90.99550554666295
84.0	84.42764	-6.208610807263489	-91.5093000716048
85.0	85.42731	-6.755012563026773	-86.57382373024637
86.0	86.42703	-4.569973652224093	-92.29103898961047
87.0	87.42679	13.855389562476931	-83.17080446339243
88.0	88.42656	-6.96637550073028	-87.77370886421619
89.0	89.42637	-8.483984768987783	-79.98507657703712
90.0	90.42622	14.640016649659032	-77.10114273590602
91.0	91.42612	8.07727875304988	-76.84177250686463
92.0	92.42605	8.711544601027143	-79.02035448655529
93.0	93.42597	17.460011412127283	-70.01820916347681
94.0	94.42589	6.277981716413642	-79.34227675874308
95.0	95.42583	39.23635175303013	-66.54686456667572
96.0	96.4258	24.72756548730537	-64.80849277442773
97.0	97.42581	14.887136643379934	-62.212121279100614
98.0	98.4258	16.36994829374385	-59.852925727306754
99.0	99.4258	48.13128007879133	-58.44491321880755
100.0	100.42582	72.42957125230194	-55.310715075774645
101.0	101.42584	68.14716310543594	-55.92534172888863
102.0	102.42587	65.59150041210485	-54.080005945367404
103.0	103.4259	68.34471829366818	-53.03067547455397
104.0	104.42597	67.18515878964328	-53.09897559437351
105.0	105.42605	65.60869963101563	-53.03930072079486
106.0	106.42612	75.62882977080173	-52.89332123642766
107.0	107.42621	85.6921530473104	-53.489812953176525
108.0	108.42629	93.15344316995676	-53.29287397699948
109.0	109.42638	87.05683489350918	-53.464922444363985
110.0	110.42645	67.07445481385142	-53.499046097508305
111.0	111.42654	74.31349334604853	-54.30950849797763
112.0	112.42663	83.54968061250304	-52.20040706109827
113.0	113.42669	77.36967232098885	-57.059476856388414
114.0	114.42675	76.91088299173703	-56.79040967162102
115.0	115.42684	70.06655927573598	-56.069965552314024
116.0	116.42689	68.2374810885222	-56.844103341687834
117.0	117.42695	55.059267659088	-57.974440734965306
118.0	118.42702	63.2904402323707	-58.22850611411592
119.0	119.42706	61.43112999557533	-59.07598364589587
120.0	120.42709	52.31400223218958	-57.64897860420699
121.0	121.42713	34.09929020122465	-59.7314126359141
122.0	122.42714	33.11674363167875	-54.861207419317445
123.0	123.42716	35.624217137759835	-55.77829699398229
124.0	124.42719	32.343166911479386	-60.81500785964887
125.0	125.4272	44.18577273450021	-59.9033809525093
126.0	126.42722	31.396963064263637	-55.71383113394473
127.0	127.42727	18.66443221938131	-60.263820448159066
128.0	128.4273	33.441796880378924	-60.147910465455425
129.0	129.42734	26.11408440114033	-60.15043325828447
130.0	130.4274	27.99820109005586	-60.39775156563427
131.0	131.42746	30.978139002543895	-60.22549598219814
132.0	132.42755	14.038012739877491	-59.28023071792967
133.0	133.42767	27.721600051705284	-61.01038214153188
134.0	134.42781	29.583212811289094	-60.47364639702527
135.0	135.42797	12.9898365175318	-60.49922016173264
136.0	136.4281	36.582270203602654	-57.126301692727054
137.0	137.42815	28.663394638689077	-58.77746949661993
138.0	138.42818	11.041191097513016	-74.02183852984764
139.0	139.42822	22.091831806816487	-57.09411407047957
140.0	140.42826	12.930717129692782	-63.5112534300035
141.0	141.42829	22.301290971407678	-56.38543123196107
142.0	142.42818	5.619530527240864	-60.93957252595322
143.0	143.42797	8.040368073659048	-60.11388980192477
144.0	144.42768	1.6772743797465282	-59.88951609752044
145.0	145.42737	1.812847178384672	-60.053693964777324
146.0	146.42705	-8.86920294109327	-58.960488360755015
147.0	147.42677	-16.460744998857795	-59.55571136586964
148.0	148.42655	-7.4920107048465985	-61.191252609156116
149.0	149.42637	-14.773669858017945	-67.52930576143976
150.0	150.42625	-16.84879865860691	-60.28544506146007
151.0	151.42613	-27.497774007277027	-60.35517010685876
152.0	152.42602	-11.788578483923068	-59.84432346534921
153.0	153.42594	-9.149246621950882	-59.611180730535686
154.0	154.42589	-23.28936694292445	-59.27835640253344
155.0	155.42587	-25.35588404653323	-59.1017057396166
156.0	156.42585	-26.75069037828187	-59.65579847485895
157.0	157.42582	-25.800523466010926	-60.94864351992043
158.0	158.42583	-24.251172462497966	-59.920094673683096
159.0	159.42584	-29.661632595028568	-59.90922964801306
160.0	160.42587	-70.45323836295749	-54.42465231823147
161.0	161.42589	-80.18315670322333	-66.01905730867703
162.0	162.42593	-79.78530617597228	-59.452530431868304
163.0	163.42599	-66.64043501123055	-59.615746879173656
164.0	164.42604	-88.79112378244223	-59.554796928351436
165.0	165.42609	-76.0334786524037	-59.589632552082655
166.0	166.42616	-77.33274525255855	-59.75674263320783
167.0	167.42623	-80.82813245529856	-60.23428891157961
168.0	168.42629	-72.24659746924647	-61.56759433343278
169.0	169.42635	-89.47034652406518	-60.28489644128417
170.0	170.42643	-80.05605287022298	-59.85486804794117
171.0	171.42653	-76.0409314246931	-60.30001107760666
172.0	172.42658	-78.60102396630612	-59.01364957994741
173.0	173.42665	-81.06565885270759	-62.6898866064156
174.0	174.42674	-83.34101528610596	-63.6960941217954
175.0	175.42679	-65.24362547427887	-46.95370730826565
176.0	176.42685	-70.49525467737455	-53.72218505092279
177.0	177.42692	-71.06626429958597	-49.08763408714224
178.0	178.42696	-62.40828348201554	-45.82475934395737
179.0	179.427	-76.16032897178127	-46.56856566114946
180.0	180.42705	-34.73780860366793	-32.08654004062181
181.0	181.42706	-53.081132240352616	-23.99540644575041
182.0	182.42709	-34.7183953679082	-19.954161634238844
