Version	KoJaC2_v7r2	 ACFG	 INTERNAL 
Modfile	016cccc.mod
comment	VShape GPPC ZUM

Analysis name	.a016cccc_t2600a040d
Applied torque	2600.0
Rpm	200.0
Articulation angle	4.0




Powerflow 	Drive
JointType 	AAR_joint

Angle_Rot_Spider.LastRot	Angle_Rot_Tulip.LastRot	Force_Roller_Tulip_Total_JointRef.z	Force_Roller1_TulipTrack_tot.z	
0.0	0.42044	33.25685264208922	18.097477835117733
1.0	1.42047	32.64047424384764	17.37864969222592
2.0	2.4205	21.967155693412145	6.2296291024984045
3.0	3.42054	18.26969815590031	1.4481340764887047
4.0	4.42056	19.22420801155826	-0.9229184598558127
5.0	5.42056	27.03877667168494	1.9124110271117634
6.0	6.42056	18.422982502358263	-6.3508853728551795
7.0	7.42056	20.89444363617012	-5.3791442942762755
8.0	8.42058	19.431521511460257	-6.670091745000318
9.0	9.4206	17.4254696802066	-8.573539335743769
10.0	10.42063	23.440111647118783	-3.1784472725026642
11.0	11.42068	19.010965514031994	-8.393452986004498
12.0	12.42073	16.175331158491005	-11.787091673719683
13.0	13.42078	7.956775347857259	-20.749468578304906
14.0	14.42082	19.5932767829387	-9.836404606250465
15.0	15.42086	21.215659793188323	-8.056669050434522
16.0	16.42092	27.18111320416186	-3.464569028600288
17.0	17.42099	11.281168692153582	-19.407934667264016
18.0	18.42104	9.661303674924879	-20.42556467695715
19.0	19.42107	9.728288123928177	-21.85231951867533
20.0	20.42107	6.1050945934539556	-25.20795094550404
21.0	21.42107	1.9259098920789903	-29.543106474308587
22.0	22.42106	-0.31019451465785164	-31.399826956172515
23.0	23.42105	-4.93287973586591	-34.0205568176374
24.0	24.42104	-1.7059916255549437	-29.88522872817965
25.0	25.421	-11.405673986202132	-34.42157193656199
26.0	26.42094	-9.212665191150903	-35.57202794386383
27.0	27.42089	-4.118133700851331	-29.509701659560246
28.0	28.42084	-19.31114427474787	-43.93513419326173
29.0	29.42075	-7.851991763713912	-32.937226334700334
30.0	30.42065	-12.21883053592592	-34.146919300888094
31.0	31.42054	-15.049602640285286	-35.14188395595555
32.0	32.42044	-9.701207293988885	-36.12866903244525
33.0	33.42033	-7.022218187172911	-32.20081950012084
34.0	34.42021	-22.478139073081955	-39.04435841338185
35.0	35.42012	-20.746125325867652	-42.82044209872386
36.0	36.42005	-19.73360162242434	-39.240442618624336
37.0	37.42003	-21.61386539540576	-39.35153046751334
38.0	38.42003	-33.89292376882698	-42.13144639661334
39.0	39.42003	-40.16264229179896	-61.97107975185508
40.0	40.42003	-63.63645903811293	-81.11105467421618
41.0	41.42002	-55.343110255935485	-80.80815343195441
42.0	42.42001	-60.25123976313673	-79.31930946021563
43.0	43.42001	-67.40830397159662	-79.62483083903031
44.0	44.42001	-69.5907798286069	-82.00237537408327
45.0	45.42001	-69.96197967165973	-81.50855504878393
46.0	46.42003	-62.97310707176032	-74.0030633134585
47.0	47.42005	-74.66283956225057	-86.79201168046357
48.0	48.42009	-76.92477242725242	-80.27429584369764
49.0	49.42013	-67.95172052528969	-79.00147819713276
50.0	50.42016	-71.19401523613158	-79.0523534996673
51.0	51.42019	-63.34909131515802	-78.62703293639375
52.0	52.42023	-71.55386015802742	-78.9209912788055
53.0	53.42028	-72.46473684389828	-86.84534276780106
54.0	54.42033	-62.56979700016022	-79.48066804345464
55.0	55.42038	-54.39658012931111	-73.84240755161032
56.0	56.42042	-61.254713263865604	-76.60161950837443
57.0	57.42043	-49.77183067101764	-77.67600867926176
58.0	58.42046	-58.68290501762128	-79.56666616649008
59.0	59.4205	-51.72956920940861	-79.64523840455101
60.0	60.42055	-34.34748997638694	-77.23830834886937
61.0	61.42059	-34.46473029754415	-82.23826050555665
62.0	62.42061	-36.011847896090586	-87.57044940748109
63.0	63.42063	-30.38483383252629	-84.98981464326218
64.0	64.42064	-20.075588610532396	-83.13576810368245
65.0	65.42064	-30.69610346284994	-87.58780531304691
66.0	66.42065	-27.110871355517588	-88.41234917309646
67.0	67.42066	-22.954712647189254	-88.5584058221499
68.0	68.42066	-19.794613737127225	-88.3750629429891
69.0	69.42066	-21.543599994319692	-87.64596947558513
70.0	70.42068	-21.6760840758173	-88.52649057810535
71.0	71.42072	-20.315227877222714	-87.80427297799942
72.0	72.42076	-20.815084560718073	-89.07697867671294
73.0	73.4208	-20.52543082980598	-89.28622915071466
74.0	74.42082	-19.772490005482428	-90.03642765094214
75.0	75.42085	-13.436680609488741	-90.52384575664904
76.0	76.42087	-24.91867142423753	-91.28384628190597
77.0	77.42091	-18.339722979024998	-91.16698895659894
78.0	78.42093	-22.856577393229415	-91.16693074896496
79.0	79.42094	-18.010563882881154	-92.30830533261891
80.0	80.42096	-8.680826050448028	-91.11644129053956
81.0	81.42097	-7.588269185537338	-90.77647400841708
82.0	82.42098	-9.16627823284292	-91.19788237012135
83.0	83.42098	-8.509484779298448	-90.69661005433272
84.0	84.42096	-9.428334663596914	-90.86048826512068
85.0	85.42093	-5.5553684636275165	-91.34540440597829
86.0	86.42091	-5.719257236441649	-88.89453399180046
87.0	87.42088	-2.206969744120251	-86.34546602052518
88.0	88.42084	10.28427547041159	-87.33954668651529
89.0	89.42077	12.284404467757746	-86.17058556552946
90.0	90.42068	15.966803733959297	-85.43509954257483
91.0	91.42056	9.159835314720912	-85.06190504236481
92.0	92.42046	16.14512681109188	-85.21720870575182
93.0	93.42033	9.227779215747235	-86.49851756781167
94.0	94.4202	12.51442383846169	-83.0373187920268
95.0	95.4201	10.454162554326404	-89.01298113251526
96.0	96.42004	26.327002979970846	-74.26258384727898
97.0	97.42003	34.827959581177865	-79.8869949733039
98.0	98.42002	16.59924944041002	-76.7825992452829
99.0	99.42002	69.92017595769497	-73.76971467261303
100.0	100.42001	67.19495151854265	-76.82783721781475
101.0	101.42001	63.36030679490489	-75.89561264889883
102.0	102.42003	64.83722291265006	-74.35118549753591
103.0	103.42006	63.276662927539356	-73.80259172044798
104.0	104.42008	65.32278776933025	-72.72419249971978
105.0	105.42008	65.3856579260697	-72.51942737149767
106.0	106.42008	65.62391627729805	-72.8073094648269
107.0	107.42008	61.17101742818263	-70.91974073299313
108.0	108.42008	66.48787109517657	-70.9692229314901
109.0	109.42009	72.13599088494625	-69.86860759708627
110.0	110.4201	67.47742656873896	-69.4168961883379
111.0	111.42012	67.43590673824698	-68.18359831295163
112.0	112.42015	63.6600987910446	-67.99240104935122
113.0	113.42018	58.02311021451296	-67.7228116695301
114.0	114.42021	65.44038178335664	-67.25975361794374
115.0	115.42024	62.7856686923267	-72.75120797031977
116.0	116.42028	77.02902426774668	-66.02647508238215
117.0	117.42033	54.13219019771634	-65.34084890392928
118.0	118.42038	67.41896211245793	-64.9534688545611
119.0	119.42043	54.116621528223526	-64.82081688533495
120.0	120.42046	32.58409685220731	-63.827665903716344
121.0	121.4205	27.955709956812345	-64.06445127585582
122.0	122.42053	26.42225151330028	-63.905420975041096
123.0	123.42058	31.540772787536227	-62.9046441189262
124.0	124.42063	22.47333551655379	-62.59697292820687
125.0	125.42065	20.822161812551165	-62.18183825930554
126.0	126.42064	32.39065702851485	-61.856867774412216
127.0	127.42063	29.43823697504227	-61.650387637049555
128.0	128.42063	20.674600719765	-61.34037669041713
129.0	129.42064	19.707771739903908	-61.138802165325366
130.0	130.42066	16.11527960672792	-60.76822587589445
131.0	131.42069	19.895756193924775	-60.294053061304425
132.0	132.42073	18.010660063195175	-59.96032524918884
133.0	133.42079	18.021237110579595	-59.56158447688095
134.0	134.42084	28.263581067244633	-59.483651026899565
135.0	135.42089	22.01749408968859	-59.47384234027586
136.0	136.42094	13.765218670266513	-59.41576341422573
137.0	137.42099	16.605286774296104	-59.14281914467774
138.0	138.42104	15.129057906205183	-58.80643310282052
139.0	139.42109	20.515440641849427	-58.4829808298118
140.0	140.42112	-0.4556667927761211	-58.4013766773468
141.0	141.42112	15.064820056671465	-58.692626924464534
142.0	142.4211	8.343461247738922	-57.317455207844716
143.0	143.42108	1.020586389976078	-60.735988046190684
144.0	144.42107	-11.243852255351173	-71.7563614017922
145.0	145.42105	3.610938714070113	-55.57757177531335
146.0	146.421	-10.151136058253755	-58.60553374062424
147.0	147.42094	-9.421800704900972	-61.77102768239279
148.0	148.42088	1.2491000449950391	-63.51770236857996
149.0	149.4208	3.7243309607066744	-62.133213999142576
150.0	150.42071	-16.94483515178875	-61.89878255613541
151.0	151.42061	-12.823984388337694	-62.16303273884779
152.0	152.42048	-13.214264582526594	-61.947392797696544
153.0	153.42035	-11.809908662390006	-61.73112522017852
154.0	154.42024	-12.91063819262528	-55.01260306569936
155.0	155.42015	-22.54962957357215	-62.03626846618899
156.0	156.42009	-25.771223339335954	-63.833682323708274
157.0	157.42005	-27.318873700671663	-62.41061232592139
158.0	158.42004	-18.40888950405148	-53.067602300740596
159.0	159.42004	-46.70998005813838	-60.491830859020105
160.0	160.42005	-62.94393989339869	-59.868807389739416
161.0	161.42006	-67.49064484263191	-59.64246308645407
162.0	162.42006	-69.52761905587117	-60.5759857798594
163.0	163.42006	-74.78756972668732	-68.45768907770221
164.0	164.42006	-78.88245710658825	-72.00907278950228
165.0	165.42006	-74.47335100756361	-67.13451283202046
166.0	166.42008	-69.19038053119337	-61.26851367545941
167.0	167.42009	-79.15000302759789	-62.12045600541993
168.0	168.42011	-59.26057218504867	-59.65807284396203
169.0	169.42014	-66.08988279916623	-59.071799593907066
170.0	170.42017	-81.33477216656486	-57.922426283676124
171.0	171.4202	-71.12191568695344	-56.535194709932156
172.0	172.42023	-51.30354709186311	-54.43482643773634
173.0	173.42026	-61.843998799077184	-52.933678538697094
174.0	174.4203	-83.06082234283535	-50.35847784159443
175.0	175.42035	-62.81827778278976	-45.13643159334252
176.0	176.4204	-49.70339482445028	-44.12770888903694
177.0	177.42043	-49.68613555335345	-42.20794187945681
178.0	178.42045	-56.42796079322736	-39.15789576659018
179.0	179.42047	-55.452567322285915	-39.77086576810303
180.0	180.42051	-34.30965599660613	-17.43196056570482
181.0	181.42055	-34.22478737313689	-16.738409094367086
